#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:Use_4_BEAUTI_01042024" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:Use_4_BEAUTI_01042024" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:Use_4_BEAUTI_01042024" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.Use_4_BEAUTI_01042024" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:Use_4_BEAUTI_01042024" name="distribution" x="@birthRate.t:Use_4_BEAUTI_01042024">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:Use_4_BEAUTI_01042024" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:Use_4_BEAUTI_01042024" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <distr id="Dirichlet.0" spec="beast.base.inference.distribution.Dirichlet">
#                <parameter dimension="4" estimate="false" id="RealParameter.3" name="alpha" spec="beast.base.inference.parameter.RealParameter">4.0 4.0 4.0 4.0</parameter>
#            </distr>
#        </prior>
#        <prior id="KappaPrior.s:Use_4_BEAUTI_01042024" name="distribution">
#            <parameter id="kappa.s:Use_4_BEAUTI_01042024" lower="0.0" name="x" spec="beast.base.inference.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.base.inference.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@Use_4_BEAUTI_01042024" id="treeLikelihood.Use_4_BEAUTI_01042024" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:Use_4_BEAUTI_01042024">
#            <siteModel id="SiteModel.s:Use_4_BEAUTI_01042024" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:Use_4_BEAUTI_01042024" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:Use_4_BEAUTI_01042024" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:Use_4_BEAUTI_01042024" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:Use_4_BEAUTI_01042024" kappa="@kappa.s:Use_4_BEAUTI_01042024" spec="beast.base.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:Use_4_BEAUTI_01042024" id="estimatedFreqs.s:Use_4_BEAUTI_01042024" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:Use_4_BEAUTI_01042024" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:Use_4_BEAUTI_01042024" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-162186.20104924202	-162178.7889319957	-7.412117246322149	-162178.7889319957	1.9068093435379976	9.64345838583785	-9.643458385837848	1.0	2.0	0.25	0.25	0.25	0.25
1000	-110377.6769475069	-110432.4868645621	54.80991705519449	-110432.4868645621	1.910514587065634	21.405696529102176	52.57857591567878	5.990117616575138	2.0	0.25	0.25	0.25	0.25
2000	-85244.36652172696	-85276.17457607089	31.808054343933076	-85276.17457607089	2.419561463321241	27.188102942728328	29.5815273838838	4.496584353388308	2.0	0.26001074299101473	0.25	0.23998925700898524	0.25
3000	-65803.11632789625	-65848.55326221402	45.43693431777126	-65848.55326221402	1.3077710695539615	23.274904575502024	43.210407357721984	3.2259637224627102	2.0	0.26001074299101473	0.25	0.23998925700898524	0.25
4000	-59026.474862927615	-59078.22738513229	51.75252220467219	-59078.22738513229	1.7598686862392277	22.692091578691002	49.52599524462292	4.129046037485731	2.0	0.26001074299101473	0.25	0.23998925700898524	0.25
5000	-54995.55558378675	-55068.210103134305	72.6545193475505	-55068.210103134305	1.5827941646090768	18.50066453469244	70.42799238750123	5.438848623266595	2.0	0.26001074299101473	0.25	0.23998925700898524	0.25
6000	-49337.10445641513	-49398.25070203197	61.14624561683658	-49398.25070203197	1.8769019754290266	20.640790733048778	58.788169959954	5.438848623266595	1.6771754810487525	0.26001074299101473	0.25	0.23998925700898524	0.25
7000	-43627.801488908015	-43711.51671414839	83.71522524037377	-43711.51671414839	1.4933937238007273	16.15717891786935	81.26932842292439	4.883683873365501	1.4644665049074428	0.26001074299101473	0.25	0.23998925700898524	0.25
8000	-38255.225478925284	-38334.95022774641	79.72474882112819	-38334.95022774641	1.540959853628658	17.13505924986134	77.23463226453292	6.734926349161185	1.356919079132121	0.26001074299101473	0.25	0.23998925700898524	0.25
9000	-36782.6522360782	-36852.33677371358	69.68453763537916	-36852.33677371358	1.7944966618350102	18.835788217096315	67.1944210787839	6.31263295532447	1.356919079132121	0.26001074299101473	0.25	0.23998925700898524	0.25
10000	-35211.18371613281	-35295.35622688951	84.17251075670256	-35295.35622688951	1.5386009681155748	16.396659139108426	81.64998716558723	7.054508538203334	1.2773081246256297	0.26001074299101473	0.25	0.23998925700898524	0.25
11000	-33615.689670614964	-33697.92006276895	82.2303921539863	-33697.92006276895	1.6675559952404275	16.461184550914602	79.70926179196529	4.865974188543827	1.2773081246256297	0.26001074299101473	0.2446130836939598	0.23998925700898524	0.2553869163060402
12000	-32735.539563290018	-32812.5316564362	76.99209314618052	-32812.5316564362	2.3123277079257063	16.75597238366902	75.63892068187683	8.080329301956667	1.6545689647941821	0.30796481991833186	0.1502220020400633	0.15570102773465475	0.38611215030695006
13000	-31840.810850888305	-31934.49103201304	93.6801811247342	-31934.49103201304	1.7089815625104643	14.89365986837531	92.32700866043051	6.85349981666792	1.6545689647941821	0.30796481991833186	0.1502220020400633	0.15570102773465475	0.38611215030695006
14000	-31438.750126450104	-31535.244813096157	96.49468664605305	-31535.244813096157	1.6472755906552945	14.497248692917719	95.0438125787541	6.85349981666792	1.4178767696190824	0.30796481991833186	0.1502220020400633	0.15570102773465475	0.38611215030695006
15000	-30883.024497184397	-30977.18127326627	94.15677608187352	-30977.18127326627	1.6730663474278082	14.709946192469276	92.70590201457455	7.812988051213829	1.4178767696190824	0.30796481991833186	0.1502220020400633	0.15570102773465475	0.38611215030695006
16000	-30558.123591929398	-30652.32846291682	94.20487098742146	-30652.32846291682	1.6648355869243967	14.653208633577382	92.75399692012249	5.875112516262085	1.4178767696190824	0.30796481991833186	0.1502220020400633	0.15570102773465475	0.38611215030695006
17000	-29974.39228284858	-30071.374198597645	96.98191574906221	-30071.374198597645	1.5503072757558254	14.414142422842886	95.43950057588947	7.455516273037947	1.4178767696190824	0.30796481991833186	0.1502220020400633	0.16409075483025526	0.3777224232113496
